3;5;19;23;34;47
2;21;22;26;39;46
4;13;15;49;54;60
6;14;17;19;20;45
9;19;23;44;46;52
2;5;18;21;28;55
14;20;23;40;46;48
14;16;24;28;31;37
26;27;31;39;41;52
4;21;24;51;56;58
1;9;12;15;35;36
11;12;17;21;28;36
7;9;23;25;31;39
21;23;26;29;48;54
24;38;46;52;58;60
6;9;17;19;29;47
22;25;29;45;50;59
1;8;13;16;25;34
1;3;25;27;33;52
16;26;31;33;39;40
1;22;32;39;49;54
22;24;25;41;47;50
16;30;31;45;49;56
20;21;26;36;47;60
1;24;28;33;44;46
10;11;20;27;31;56
1;4;9;38;41;45
10;14;19;28;40;54
4;13;31;32;35;41
1;10;43;44;52;58
27;32;35;39;43;55
3;32;36;40;50;52
9;13;23;36;53;55
24;29;31;38;55;56
2;5;8;9;41;54
1;9;34;36;47;53
13;20;28;35;41;52
13;15;44;46;56;60
22;24;26;33;48;56
11;28;29;37;39;48
1;10;21;40;58;59
6;11;14;30;54;55
12;13;17;36;43;60
2;28;29;30;37;54
5;7;12;25;26;41
26;34;35;38;52;55
4;14;16;29;44;54
15;19;30;52;58;59
5;6;14;21;39;42
21;22;38;39;46;57
4;25;29;40;48;54
3;20;30;50;51;60
2;5;11;13;28;30
5;7;23;37;48;50
6;7;16;29;43;60
7;21;34;36;52;59
4;10;37;39;54;57
11;28;29;47;57;60
8;9;24;36;49;58
1;10;21;26;32;34
5;13;28;42;49;58
2;19;42;51;53;59
3;6;18;19;24;59
8;10;22;26;42;47
3;8;25;38;41;58
6;12;16;26;55;57
3;7;14;33;35;52
39;46;48;50;53;59
2;3;14;19;34;38
11;17;47;57;58;59
10;13;22;23;30;32
26;28;41;42;48;52
6;9;21;31;51;56
24;37;48;49;57;58
6;17;28;49;53;55
2;34;37;38;41;50
19;21;24;33;35;57
15;21;33;39;54;58
7;18;24;30;37;49
3;6;30;39;40;55
4;6;26;42;44;52
18;19;30;43;47;57
13;18;27;30;44;58
4;9;26;29;53;56
21;44;46;48;53;60
8;14;19;22;45;47
2;24;46;51;53;56
3;8;14;32;47;53
20;26;27;48;53;58
13;14;23;34;37;41
21;32;36;43;49;57
6;9;11;14;23;57
18;23;30;32;42;57
8;10;34;51;54;58
16;19;35;38;48;60
18;31;32;36;39;53
6;8;20;22;49;60
15;19;30;47;53;58
8;10;12;19;23;25
10;35;46;51;56;59
17;23;24;26;52;59
10;15;29;39;40;41
7;27;33;38;55;60
17;21;37;39;44;50
10;14;31;42;50;60
9;11;18;20;40;54
7;8;31;41;42;50
1;9;13;24;36;56
22;25;36;39;50;56
7;8;11;16;51;58
7;13;17;19;41;53
2;7;30;40;43;49
1;33;35;39;50;55
11;13;18;28;42;59
6;18;43;45;51;52
5;9;15;41;44;59
34;44;47;48;49;59
5;18;32;40;42;52
3;16;24;27;52;60
5;9;25;27;34;36
30;31;50;53;58;60
36;37;40;48;49;52
15;24;26;28;39;50
6;13;25;53;55;59
2;3;27;33;35;47
2;10;13;15;40;43
6;8;11;13;33;60
2;23;29;38;45;47
2;32;35;42;59;60
11;16;19;30;34;47
19;34;36;41;49;60
1;9;20;24;33;36
12;14;24;26;48;54
4;30;31;35;53;59
10;12;14;20;28;41
14;19;22;28;40;47
21;23;30;34;49;60
25;39;41;54;57;60
3;29;30;32;39;47
6;10;38;52;54;58
